sentence,label
"Adicara tradhisi Ceprotan ing Desa Sekar, Kecamatan Donorojo, Kabupaten Pacitan sampun lumampah atusan warsa, ingkang ngantos sakpunika laksih lestantun katindakaken.",3
Mboten kasumerepan milai kalamenapa adicara iradhisi Ceprotan menika kawiwitan.,3
Adicara Ceprotan menika rerangkenipun kaliyan tradisi bersih desa.,3
"Dipunwontenaken setunggal warsa sepisan, ngleresi dinten Senin Kliwon wulan Zulkaidah (Longkang, Sela).",3
"Adicara Ceprotan menika kenging kawastanan perang cengkir (klapa enem), amargi alat utami cengkir.",3
"Cengkir ingkang sampun dipunbucal sepetipun, saha karendem toya saderengipun, kersanipun lembek bathokipun.",3
"Cengkir-cengkir wau dipunwadhahi krajang, lajeng diarak tumuju lapangan panggenan adicara.",3
Ingkang mbela para kaneman ingkang badhe nindakaken ceprotan.,3
"Dumugi lapangan, cengkir kapalih dados kalih, semanten ugi para pemudha kapérang dados kalih kelompok, lajeng adhep-adhepan letipun watawis sakpembalang.",3
Ing tengahipun wonten ingkung ayam utawi ayam panggang.,3
"Menawi sadaya sampun samapta, salah setunggalipun sesepuh ngunjukaken donga nyuwun kelancaran saha kawilujengan.",3
"Bibar dipundongani, lajeng kagelar sendratari Asmarabangun - Dewi Sekartaji, inggih menika nggambaraken pepanggihanipun Ki Godheg kaliyan Dewi Sekartaji.",3
Ingkang dados paraga Raden Panji Asmarabangun Kepala Desa ingkang dados paraga Dewi Sekartaji garwanipun Kepala Desa.,3
"Sarampungipun pagelaran sendratari, Ceprotan dipunwiwiti kanthi sawal-sawatan utawi balang-balangan cengkir (perang cengkir) ngantos pasadiyan cengkir ing kranjang telas.",3
"Wonten kapitadosan, soksintena ingkang kenging sawat ngantos cengkiripun pecah, toyanipun nggrujug badan, ing tembe ingkang kenging balang wau badhe manggih rejeki kathah.",3
"Menawi cengkir sampun telas, dipun tutup kanthi donga malih.",3
"Biyasanipun ing adicara-adicara menapa kemawon, donga namung katindakaken sepisan.",3
"Nanging ing tradhisi Ceprotan, donganipun kaping kalih, wiwitan lan pungkasan (rampung ceprotan).",3
"Ingkung/ayam panggang ingkang wau kaseleh tengah lapangan, dipun pendhet, kangge lawuh kembul bojana sadaya ingkang rawuh utawi ingkang kersa.",3
Dédongenganipun wontenipun adicara tradhisi Ceprotan menika kanggo mengeti sesepuh ingkang cikal bakal Desa Sekar.,3
"Kala rumiyin laladan Donorojo menika taksih arupi wana saha pasitenipun garing, pareden gamping kalebet jejeran redi Sewu ingkang awis sanget sumber toyanipun.",3
Wonten pawongan ingkang ngumbara ngantos dumugi tlatah Donorojo mriku.,3
"Tiyang neneka ingkang mesthinipun inggih nganthi rowang, dumugi satunggaling papan lajeng babad wana kadamel pakampungan.",3
"Pandhita wau dipunwastani Ki Godheg, kaangkat pinangka sesepuhing pakampungan enggal wau.",3
"Sasampunipun sawatawis warsa, wonten pawongan estri kalih ugi ngumbara ngantos dumugi panggenan ingkang dipun babad Ki Godheg.",3
"Putri kekalih wau Dewi Sukonandi kaliyan rayinipun, Dewi Sekartaji kepranan kaliyan papang enggal menika, pramila piyambakipin lajeng kantun wonten mriku dene Dewi Sukonandi nglajengaken anggenipun ngumbara.",3
"Dewi Sekartaji lajeng lenggah papan enggal wau, dene Dewi Sukonandi nglajengaken anggenipun ngumbara.",3
"Satunggiling dinten, Dewi Sekartaji pinanggih Ki Godheg, sambat menawi ngorong.",3
Dewi Sekartaji nyuwun dhateng Ki Godheg supados madosaken toya klapa badhe dipuninum.,3
Kamangka tlatah mriku mboten wonten taneman klapa.,3
"Ki Godheg lajeng matakaji, amblès ing bumi badhe pados klapa.",3
"Saking panguwaosing Gusti, papan amblèsipun Ki Godheg dados sumber toya.",3
Piyambakipun lajeng njedhul ing satunggaling panggenan ingkang wonten klapanipun.,3
Papan panjedhulipun Ki Godheg ugi lajeng medal toyanipun dados kedhung ngantos sakpriki dipunwastani Kedhung Timo.,3
Sakiwa tengeniipun papan wau kathah witipun Kalak.,3
"Ki Godheg ngendika, “Tlatah iki akeh wite Kalak, mula mbesuk yen tekan rejaning jaman dadiya jeneng desa Kalak.”",3
Ing mriku kathah witipun klapa.,3
Pramila Ki Godheg lajeng mendhet deganipun kabeta wangsul dhateng panggenanipun Dewi Sekartaji.,3
